Season,Episode,Episode Title,Line,Character,Lines
2,17,Gnomes,14126,Tweek,[disheveled and really tweaked] AAAghah heheh. 
2,17,Gnomes,14132,Tweek,Yuh-ugh! 
2,17,Gnomes,14136,Tweek,Wagh! 
2,17,Gnomes,14163,Tweek,"[twitching and closing his right eye] AAAaaagh. Ugh, ugh, huh, aarrrnnn. Aaarrrhaharn. "
2,17,Gnomes,14169,Tweek,"Uuurrnnn, too much pressure! "
2,17,Gnomes,14171,Tweek,The gnomes! 
2,17,Gnomes,14173,Tweek,[gritting his teeth] We can do our report on the gnomes. 
2,17,Gnomes,14175,Tweek,"The underpants gnomes. The little guys that, that come into your room late, late at night and steal your underpants. "
2,17,Gnomes,14180,Tweek,"They come out at 3:30 in the morning. Most people aren't up then, but I am. I can't sleep. Ever. "
2,17,Gnomes,14182,Tweek,"[""No!! Sleep at my house tonight I'll prove it to you. ""]"
2,17,Gnomes,14189,Tweek,UUuuUunh! 
2,17,Gnomes,14191,Tweek,What do you mean?! 
2,17,Gnomes,14203,Tweek,Mwaaah! Slavery? 
2,17,Gnomes,14210,Tweek,Uunnnnhh! 
2,17,Gnomes,14219,Tweek,"[in a corner of the room, scared] What if my parents go out of business? Uh what'll I do? "
2,17,Gnomes,14221,Tweek,But we'll starve and die like dogs. 
2,17,Gnomes,14236,Tweek,I just have grounds. 
2,17,Gnomes,14244,Tweek,"Urgh. Uh maybe, maybe it was all in my head. Maybe I'm going insane! Oh no I'm going insane! "
2,17,Gnomes,14259,Tweek,There they are! 
2,17,Gnomes,14261,Tweek,"[""Time to go to work, work all nightSearch for underpants, hey!""]You guys, look! Look! You're missing it![the gnomes take off with two pairs of underpants:""We won't stop until we have underpantsYum tum yummy tum day!""] "
2,17,Gnomes,14262,Tweek,Arrgghh! They took them again! 
2,17,Gnomes,14266,Tweek,Why do they torture me like this?! Why can't they leave me alone?! 
2,17,Gnomes,14268,Tweek,They took my underpants again! Soon they'll want my blood! Blood! Euuggh! 
2,17,Gnomes,14274,Tweek,[throbs] Uurrgh! 
2,17,Gnomes,14285,Tweek,"Uunh, it's too much pressure! "
2,17,Gnomes,14290,Tweek,Waagh! 
2,17,Gnomes,14293,Tweek,I need coffee. 
2,17,Gnomes,14295,Tweek,Dad! 
2,17,Gnomes,14297,Tweek,"The metaphors, man! "
2,17,Gnomes,14302,Tweek,Agghh! 
2,17,Gnomes,14315,Tweek,"Uuhhh, no way, man! That is way too much pressure! "
2,17,Gnomes,14320,Tweek,[fretting] Aaarrrnnn! 
2,17,Gnomes,14341,Tweek,Wagh! 
2,17,Gnomes,14343,Tweek,Didn't you see them!? 
2,17,Gnomes,14348,Tweek,"Jesus, man, Jesus! What are we gonna do, huh?! "
2,17,Gnomes,14377,Tweek,[screen right to screen left] Aarrgghh! 
2,17,Gnomes,14418,Tweek,"Jesus, dude! I'm to blame for all this! I'm to blame for everything! "
2,17,Gnomes,14424,Tweek,"[""We won't stop""] Waagh! "
2,17,Gnomes,14427,Tweek,"You guys! Sshhhh! [""Time to go to work""] "
2,17,Gnomes,14430,Tweek,"They're taking my underpants![""We won't stop until we have underpantsYum tum yummy tum day""] "
2,17,Gnomes,14432,Tweek,"[points at the gnomes] Aaaggghhh! [""work all nightSearch for underpants, hey""They open the bottom drawer and go for the underpants] "
2,17,Gnomes,14435,Tweek,"[""Yum tum yummy tum day!""] That's my last pair of underpants! [""Time to go to work, work all nightSearch for underpants, hey..."" The gnomes go for the door, and the boys hop off the bed to follow. One gnome stops and faces the boys] "
2,17,Gnomes,14451,Tweek,Waggh. 
2,17,Gnomes,14536,Tweek,Aggghhh! 
3,5,Tweek vs. Craig,16677,Tweek,"Arrh! No, I'm not! "
3,5,Tweek vs. Craig,16679,Tweek,Arrrrh! 
3,5,Tweek vs. Craig,16707,Tweek,[revs up a belt sander.] Arrh! [jumps. Stan and Kyle walk to him] 
3,5,Tweek vs. Craig,16709,Tweek,[jumps] Gaarhrhrh! 
3,5,Tweek vs. Craig,16711,Tweek,[drops the sander] He does? 
3,5,Tweek vs. Craig,16713,Tweek,Why? 
3,5,Tweek vs. Craig,16715,Tweek,[jumps] Rrrrh! He doesn't look like he wants to fight me. 
3,5,Tweek vs. Craig,16725,Tweek,[twitches to one side] Rrrr! What a jerk! 
3,5,Tweek vs. Craig,16727,Tweek,Why?! What did I do?! 
3,5,Tweek vs. Craig,16729,Tweek,I guess so. 
3,5,Tweek vs. Craig,16765,Tweek,[opens the center window] Arrh! What do you guys want? 
3,5,Tweek vs. Craig,16767,Tweek,Craig and I have no reason to fight each other. 
3,5,Tweek vs. Craig,16769,Tweek,He did? 
3,5,Tweek vs. Craig,16771,Tweek,I don't have crooked teeth! 
3,5,Tweek vs. Craig,16773,Tweek,Everyone in the world?! Rrrr! [falls down behind the window] 
3,5,Tweek vs. Craig,16775,Tweek,I'm not a chicken! 
3,5,Tweek vs. Craig,16777,Tweek,[pops up] Wait! I'll fight! 
3,5,Tweek vs. Craig,16779,Tweek,Okay. 
3,5,Tweek vs. Craig,16796,Tweek,Errh! 
3,5,Tweek vs. Craig,16798,Tweek,"Dahad, if some kid in school wants to fight me, what should I do?? "
3,5,Tweek vs. Craig,16802,Tweek,[after a long lull] Well? 
3,5,Tweek vs. Craig,16804,Tweek,Nrr. What happened? 
3,5,Tweek vs. Craig,16807,Tweek,"Rrrrr! You guys never help me! [the parents look at each other, and Tweek starts banging his head against the table] Your stories never go anywhere! I hate it! I want out! I want out! [the parents resume eating] "
3,5,Tweek vs. Craig,16871,Tweek,How? 
3,5,Tweek vs. Craig,16874,Tweek,Me neither. 
3,5,Tweek vs. Craig,16879,Tweek,"Like what, then? "
3,5,Tweek vs. Craig,16894,Tweek,Rrrrh! 
3,5,Tweek vs. Craig,16898,Tweek,Hwaaah! [Stan and Kyle look at each other and shrug] 
3,5,Tweek vs. Craig,16900,Tweek,Uugh! 
3,5,Tweek vs. Craig,16903,Tweek,Ow! 
3,5,Tweek vs. Craig,16914,Tweek,Rrrr! 
3,5,Tweek vs. Craig,16963,Tweek,Hrrr. 
3,5,Tweek vs. Craig,16965,Tweek,"Rrrr, mean, rrrr. "
3,5,Tweek vs. Craig,16971,Tweek,Rrrr! [Craig adjusts his own head] Hr. [Craig flips him off] 
3,5,Tweek vs. Craig,16987,Tweek,What? 
3,5,Tweek vs. Craig,16989,Tweek,Rrrr! [punches Craig] 
3,5,Tweek vs. Craig,16996,Tweek,"[gets up] Huh? [Craig pops up and tackles Tweek. The other kids, fearing the fight over, cheer again.] "
3,5,Tweek vs. Craig,17038,Tweek,Rrr! 
3,5,Tweek vs. Craig,17051,Tweek,"Uuh! You son of a bitch! [pounces on Craig, and the fighting starts again, leaving the room a mess] "
3,6,Sexual Harassment Panda,17223,Tweek,[hops] Guh! 
4,11,Fourth Grade,25196,Tweek,"I can't take it, man! Writing in cursive?? Fractions?? I can't do i-it! "
5,7,Proper Condom Use,29810,Tweek,"Ah, I got rubber bands. [pulls a few out and walks over to Butters. Butters takes one] "
5,9,Osama bin Laden Has Farty Pants,30369,Tweek,"[drops off his mask] Oh, Jesus, man! They're gonna get me! [sits down] Oh Christ! [under his breath] they might - could get me. "
5,9,Osama bin Laden Has Farty Pants,30412,Tweek,"AAHH! This is it, man! It's over! "
6,6,Professor Chaos,34250,Tweek,"[sipping coffee, shaking violently] What if they don't pick me? What if they get us all, man! I mean, Christ! If they can get to the Pentagon, then they can get to us all, man! Aaaa! "
6,6,Professor Chaos,34270,Tweek,Oh man! This is too much pressure! 
6,6,Professor Chaos,34274,Tweek,Aaarr! [goes for his rose] 
6,6,Professor Chaos,34337,Tweek,O-oh Jesus! Aaah I can't take it! 
6,7,The Simpsons Already Did It,34444,Tweek,I can't. [presents the carrot] You do it. 
6,7,The Simpsons Already Did It,34446,Tweek,But what if I put it in the wrong place? 
6,7,The Simpsons Already Did It,34448,Tweek,"GARH. But what if, while I'm putting on the nose, the snowman comes to life and tries to kill me? "
6,7,The Simpsons Already Did It,34455,Tweek,Arrrr! 
6,7,The Simpsons Already Did It,34459,Tweek,"Oh man, that is waaay too much pressure! [Kyle puts the carrot in place] "
6,7,The Simpsons Already Did It,34463,Tweek,It's not? 
6,7,The Simpsons Already Did It,34474,Tweek,Gah! Me too. 
6,7,The Simpsons Already Did It,34511,Tweek,"[shaking] They package brine shrimp and sell them to kids? That's not right, man! "
6,7,The Simpsons Already Did It,34519,Tweek,"[blurts out] Jesus Christ, we killed her! "
6,7,The Simpsons Already Did It,34546,Tweek,"Jesus Christ, she's dead!! "
6,7,The Simpsons Already Did It,34556,Tweek,"Oh Jesus! [moves off the couch] That's it, man! I want nothing more to do with you guys! "
6,7,The Simpsons Already Did It,34558,Tweek,"They're gonna find you out! Then when they do I don't wanna be within fifty feet of you! You're gonna fry, man! "
6,7,The Simpsons Already Did It,34560,Tweek,What?! I told you NOT to put the sea people in her coffee! I wasn't even there when you did it! 
6,7,The Simpsons Already Did It,34563,Tweek,Rrrr-hr-hrrr!!! 
6,7,The Simpsons Already Did It,34576,Tweek,Gnaaahahahah! [pulls on his hair and looks at his fist] I pulled out my hair! 
6,7,The Simpsons Already Did It,34587,Tweek,"Hammertime? Can't the code word just be... ""lookout""? I won't remember ""Hammertime""! "
6,7,The Simpsons Already Did It,34590,Tweek,"Oh, God. [the boys split up. Tweek goes to the door ajar and steps out, Kyle to a table to the right, Cartman to a table to the left, Stan to the supply closet. Cartman opens the doors under his table and looks around, then goes to Kyle's table to check out the drawers there.] "
6,7,The Simpsons Already Did It,34597,Tweek,"[""[voices are heard he rushes back in] Erm! Hff. You gu-guys! Ha... Hamme- [covers his mouth] I can't remember uh-the code word! ""]"
6,7,The Simpsons Already Did It,34600,Tweek,"[hushed tones. Shadows appear down the hall and move towards the room] You guys! Um, dum dumdumdum, dumdum, dumdum. Can't touch this. Dum dumdumdum, dumdum, dumdum. Can't touch this. "
6,7,The Simpsons Already Did It,34603,Tweek,"[two people come down the hall] ...dumdum, dumdum. Can't touch this. Dum dumdumdum, dumdum, then stop. HAMMERTIME! "
6,7,The Simpsons Already Did It,34635,Tweek,Egh! I'm so relieved. Gaah-ah-ah! 
6,7,The Simpsons Already Did It,34651,Tweek,"They're like, bacteria. Small organisms live much faster lives and do things at a much faster rate. "
6,7,The Simpsons Already Did It,34653,Tweek,Hr! 
6,7,The Simpsons Already Did It,34698,Tweek,Soon they'll discover frozen food. Goh-ho. 
6,7,The Simpsons Already Did It,34700,Tweek,Uh-uh huh. 
6,7,The Simpsons Already Did It,34744,Tweek,"Me?? Aw, man! I don't wanna be a god. That is waaay too much pressure. "
6,7,The Simpsons Already Did It,34748,Tweek,Gaaa-hah! 
6,7,The Simpsons Already Did It,34750,Tweek,NOW what's happening? 
6,8,Red Hot Catholic Love,34770,Tweek,Maybe they wanna kill us. 
6,8,Red Hot Catholic Love,34813,Tweek,Arr! 
6,8,Red Hot Catholic Love,34825,Tweek,Rrrh. Nobody is going to tell us. This is going to drive me insane! 
6,8,Red Hot Catholic Love,34844,Tweek,I'm a what?? 
6,8,Red Hot Catholic Love,34939,Tweek,Harrr! 
6,9,Free Hat,35044,Tweek,"Don't you see what this means? All our favorite movies are going to be changed, and updated, until we can't even recognize them anymore. "
6,9,Free Hat,35052,Tweek,"NO! Nono, ah I don't wanna form a club! That's too much pressure! Look, ah-I'm supposed to take it easy; just, watch the clouds, sit on the grass. And, if we form a club there'll be responsibilites. Commitments! "
6,9,Free Hat,35054,Tweek,I'm not! I'm not a team player! 
6,9,Free Hat,35056,Tweek,[giving in] D'oh-ho! Oh Jesus! 
6,9,Free Hat,35063,Tweek,But we don't have hats! 
6,9,Free Hat,35065,Tweek,Aahh! 
6,9,Free Hat,35067,Tweek,"You see?? First we were just forming a club, now we have to make hats! When does it end?? "
6,9,Free Hat,35069,Tweek,Fifty hats? Oh Jesus! [runs off screen left] 
6,9,Free Hat,35071,Tweek,Ah! I'll never make it! I'll never make it! [his father happens by and notices the commotion] 
6,9,Free Hat,35073,Tweek,[shrieks] Hrrr! 
6,9,Free Hat,35075,Tweek,"My center. My... center. [closes his eyes and cups his chest] Calm. [enters a state of meditation. Richard turns and leaves, his cup stays] Puppies. [he finds himself sitting in the Lotus position by the side of a serene stream in a lovely meadow. All kinds of animals frolic around him, and a small Buddhist temple sits in the background] "
6,9,Free Hat,35077,Tweek,[comes out of his meditation] Gaaaaah! 
6,9,Free Hat,35079,Tweek,Oh God! 
6,9,Free Hat,35081,Tweek,"Aaaah! Oh God! [Cartman turns and walks out, a rattled Tweek resumes making the hats.] "
6,9,Free Hat,35083,Tweek,"You guys, we have a big problem! "
6,9,Free Hat,35085,Tweek,"I was up, all night, making hats. I only slept for an hour, ...and then I dreamt about making hats, but I only made fifteen! "
6,9,Free Hat,35088,Tweek,A thousand? [freaks out] Oh Jesus man! I don't have nearly a thousand hats! 
6,9,Free Hat,35090,Tweek,Goohoo! 
6,9,Free Hat,35093,Tweek,"[""Free hat!""] Oh God! "
6,9,Free Hat,35096,Tweek,"I gotta move away, you guys! "
6,9,Free Hat,35104,Tweek,Oh! Jesus! Don't tell them it was me! 
6,9,Free Hat,35106,Tweek,You don't? 
6,9,Free Hat,35109,Tweek,What? 
6,9,Free Hat,35125,Tweek,"[barges in through the front door] You guys! You guys! Oh God! Um, I've got terrible news! "
6,9,Free Hat,35127,Tweek,Ted Koppel wants us to appear on Nightline to talk about our cause. 
6,9,Free Hat,35130,Tweek,"No it isn't, man! Thahat's waaay too much pressure! "
6,9,Free Hat,35138,Tweek,Ga-ahah! 
6,9,Free Hat,35144,Tweek,Gaaarh! 
6,9,Free Hat,35146,Tweek,"[""TWEEK, ADVOCATE OF TODDLER MURDER"" appears at the bottom of the screen] Oh, Jesus, man! ...N'ahah! "
6,9,Free Hat,35148,Tweek,Ahah. U-uh. It's easy? 
6,9,Free Hat,35152,Tweek,Oh Christ! Wwwaaaaaaah! 
6,9,Free Hat,35159,Tweek,"Get me out of here! Please, somebody get me out of heeerre! "
6,9,Free Hat,35196,Tweek,No! That's it! I'm out! I can't deal with the stress you guys create! [walks off the stage] 
6,9,Free Hat,35198,Tweek,Hwaaah! 
6,9,Free Hat,35200,Tweek,Haaah! 
6,9,Free Hat,35204,Tweek,"[trying to stay composed, with eyes closed] I'm not breaking into George Lucas's house. I'm not breaking into George Lucas's house. I'm in a green field. "
6,9,Free Hat,35207,Tweek,I'm in a field... surrounded by deer. 
6,9,Free Hat,35211,Tweek,Huh uh. 
6,9,Free Hat,35213,Tweek,Guh huh huh! [walks off and returns with a stool. He climbs up on it and gets the reel canister. The door opens behind the boys and the lights go on] 
6,9,Free Hat,35215,Tweek,Oh God! Oh Jesus! 
6,9,Free Hat,35217,Tweek,[hops off the stool] Aaaaaah! 
6,9,Free Hat,35222,Tweek,"Oh God, no! Not Plan B! [Lucas looks at the boys quzzically] "
6,9,Free Hat,35236,Tweek,[freaks out] Aaaahh! 
6,9,Free Hat,35258,Tweek,"[runs] Oh my God they're gonna kill us. [the guards block the way, and the other three boys are stuck. Kyle tries to get around a guard, but...] "
6,9,Free Hat,35271,Tweek,"Members, uuhh, oh Jesus, uh, we have to do something! Our club president [Stan], treasurer [Kyle], and secretary [Cartman] have all been taken hostage by Steven Spielberg! Haaa! "
6,9,Free Hat,35273,Tweek,"[grits his teeth, shuts his eyes and bows his head in frustration] Yes, just like Hat!! "
6,9,Free Hat,35275,Tweek,"No! Listen to me! We're not talking about Hat right now, okay?! Gad!! Look, we went to George Lucas's house a-and tried to melt his icy heart with a warm island song, but then Spielberg showed up and took three of our members prisoner! They're goin' to premiere their new Raiders of the Lost Ark, and we have to rescue them! Do you understand?! "
6,9,Free Hat,35279,Tweek,No! 
6,9,Free Hat,35286,Tweek,Oh God. I'm gonna have to do this myself. Oh God! 
6,9,Free Hat,35290,Tweek,Hello! 
6,9,Free Hat,35292,Tweek,"I'm gonna blow up the print, Spielberg! [the other boys try to sneak away, but the guards are around them quickly] "
6,9,Free Hat,35295,Tweek,[fixes his aim on his target] That depends on how reasonable we're all willing to be. All I want are my friends. 
6,9,Free Hat,35297,Tweek,Except for Cartman - you can keep him. 
6,9,Free Hat,35300,Tweek,Then your premiere has no movie! 
6,9,Free Hat,35316,Tweek,"Ah, what?! "
6,9,Free Hat,35339,Tweek,Oh my God! 
